x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.363 38 29 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 22 22 22
1 3 6 1. 0.333 1. 1. 0.833 3. 50. 26.6 4.59 74 50 72
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 66 48 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.488 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.544 16 16 12
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.699 19 19 15
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.57 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.514 51 31 49
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.458 21 21 21
1 3 6 1. 1. 1. 1. 1. 3. 26. 13. 4.442 42 29 42
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.425 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 49 49 49
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.369 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.343 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 55 43 55
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.574 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.478 19 19 19
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 17 17 15
1 3 6 1. 1. 1. 1. 1. 3. 31. 13. 4.402 59 25 57
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.528 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.363 19 19 19
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.415 49 31 49
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.534 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 33. 15. 4.508 68 23 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.514 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.409 24 24 24
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.577 23 23 21
1 3 6 0.405 0.405 0.405 0. 0. 3. 0. 0. 4.557 31 31 31
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.333 19 19 15
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.438 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.419 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.448 16 16 12
