x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.603 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.495 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.729 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.613 0 0 0
1 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.528 31 31 31
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.405 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.607 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.432 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 0 0 0
1 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.475 28 28 28
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.432 36 36 30
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 0 0 0
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.452 31 31 31
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.561 28 28 28
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.643 18 18 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.495 27 27 27
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.534 0 0 0
1 3 6 1. 1. 1. 1. 1. 3. 13. 13. 4.574 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 13.5 13.5 4.597 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.584 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 54 48 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.481 38 29 36
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.504 0 0 0
